paper_id	mfn_authors	unknown_authors	publication_date	year	title	journal	volume	issue	page_info	publisher	identifier_type	upload_id	access	publication_type	publication_subtype	keyword
1840	Frahnert, S.	"Marx, M.; Rocha, G.; Zehtindjiev, P.; Peev, S.; Bakaloudis, D.; Metzger, B.; Cecere, J.; Spina, F.; Cianchetti-Benedetti, M.; Gamauf, A.; Voigt, C.; Quillfeldt, P."	2020-01-09	2020	Using stable isotopes to assess population connectivity in declining European Turtle Doves (Streptopelia turtur)	Conservation Science and Practice	2	2	1-13	Wiley	doi	10.1111/csp2.152	open_access	artikel	peerrevartikel	"Collection: Aves; This publication cites MfN collection specimens"
1841	Korn, D.	"Spalletta, C.; Corradini, C.; Feist, R.; Kumpan, T.; Perri, M.; Pondrelli, M.; Venturini, C."	2020-02-12	2020	The Devonian–Carboniferous boundary in the Carnic Alps (Austria and Italy)	Palaeobiodiversity and Palaeoenvironments				Springer Science and Business Media LLC	doi	10.1007/s12549-019-00413-3	closed_access	artikel	peerrevartikel	"Ecology; Palaeontology; Global and Planetary Change; Geology; Ecology, Evolution, Behavior and Systematics; Department: Diversity Dynamics; Collection: Fossile Cephalopoden, Cnidaria"
1843	Korn, D.	"Pohle, A.; Fuchs, D.; Klug, C."	2020-02-18	2020	Spatial distribution of oncocerid cephalopods on a Middle Devonian bedding plane suggests semelparous life cycle	Scientific Reports	10	1	2847	Springer Science and Business Media LLC	doi	10.1038/s41598-020-59507-0	open_access	artikel	peerrevartikel	"Multidisciplinary; Department: Diversity Dynamics"
1844	Uhlig, M.	Uhlig, B.	2020-02-19	2020	A new rove beetle species (Coleoptera, Staphylinidae) from Burundi: Erichsonius (Sectophilonthus) klausnitzerorum spec. nov., with new assignments of described species to the subgenus Sectophilonthus.	Entomologische Nachrichten und Berichte	63	3	197-202	Bernhard Klausnitzer in Zusammenarbeit mit der Entomofaunistischen Gesellsachaft e. V.	internal-id	3f076f1f-f75f-4613-b6df-94835d735f28	open_access	artikel	wissartikel	"This publication is a species description; This publication is a taxonomic revision; Department: Biodiversity Discovery"
1845	"Gliwa, J.; Leda, L.; Schobben, M.; Struck, U.; Korn, D."	"Ghaderi, A.; Tomás, S.; Forel, M.; Ghanizadeh Tabrizi, N.; Grasby, S.; Ashouri, A."	2020-02-21	2020	Aras Valley (northwest Iran): high-resolution stratigraphy of a continuous central Tethyan Permian-Triassic boundary section	Fossil Record	23	1	33-69	Copernicus GmbH	doi	10.5194/fr-23-33-2020	open_access	artikel	peerrevartikel	"Department: Diversity Dynamics; Collection: Mikropaläontologie; Laboratory: NB paleo laboratories; Laboratory: Isotope laboratories"
1846	"Dittrich, C.; Rödel, M."		2020-02-15	2020	Description of female release calls of the European Common Frog, Rana temporaria (Anura: Ranidae)	Salamandra	56	1	91-94	DGHT e.V.	internal-id	810c5f3c-96da-40f7-9358-b7caad35b8d2	open_access	artikel	peerrevartikel	Department: Diversity Dynamics
1847	Struck, U.	"Krawczyk, H.; Zinke, J.; Browne, N.; Mcilwain, J.; O’Leary, M.; Garbe-Schönberg, D."	2020-02-28	2020	Corals reveal ENSO-driven synchrony of climate impacts on both terrestrial and marine ecosystems in northern Borneo	Scientific Reports	10	1	3678	Springer Science and Business Media LLC	doi	10.1038/s41598-020-60525-1	open_access	artikel	peerrevartikel	"Multidisciplinary; Department: Diversity Dynamics; Laboratory: Isotope laboratories"
1848	Struck, U.	"Bratek, A.; Emeis, K.; Sanders, T.; Wankel, S.; Möbius, J.; Dähnke, K."	2020-02-26	2020	Nitrate sources and the effect of land cover on the isotopic composition of nitrate in the catchment of the Rhône River	Isotopes in Environmental and Health Studies	56	1	14-35	Informa UK Limited	doi	10.1080/10256016.2020.1723580	closed_access	artikel	peerrevartikel	"Inorganic Chemistry; General Environmental Science; Environmental Chemistry; Department: Diversity Dynamics; Laboratory: Isotope laboratories"
1849	"Pusch, L.; Ponstein, J.; Fröbisch, J."	Kammerer, C.	2020-01-23	2020	Novel Endocranial Data on the Early Therocephalian Lycosuchus vanderrieti Underpin High Character Variability in Early Theriodont Evolution	Frontiers in Ecology and Evolution	7		1-27		doi	10.3389/fevo.2019.00464	open_access	artikel	peerrevartikel	"Laboratory: 3D laboratory [CT, surface scan, photogrammetry, digital visualisation]; Department: Diversity Dynamics"
1850	"Renaudie, J.; Lazarus, D."	Diver, P.	2020-03-18	2020	NSB (Neptune Sandbox Berlin): An expanded and improved database of marine planktonic microfossil data and deep-sea stratigraphy	Palaeontologia Electronica	23	1	a11	Coquina Press	doi	10.26879/1032	open_access	artikel	peerrevartikel	"Oceanography; Department: Biodiversity Informatics; Department: Diversity Dynamics"
1851	"Deckert, J.; Wachmann, E."		2020-03-20	2020	Die Wanzen Deutschlands				1-720	Quelle & Meyer	internal-id	e51f21d2-e53e-4787-b6ea-6ea695791a35	closed_access	buch	popbuch	"Collection: Hemimetabola; Department: Biodiversity Discovery"
1873	Mascarenhas, A.		2020-03-05	2020	Sustainable Use of Natural Resources	Encyclopedia of the UN Sustainable Development Goals	Life on Land		1-13	Springer International Publishing	doi	10.1007/978-3-319-71065-5_92-1	closed_access	sammelband		Department: Science in Society
1921	Deckert, J.	Bäse, K.	2020-04-27	2020	Nachweise von Oxycarenus lavaterae (Fabricius, 1787) aus den ostdeutschen Bundesländern (Heteroptera: Oxycarenidae) zwischen 2017 und Anfang 2020	Heteropteron		58	27-32	Hoffmann, Dr. H.-J., Institut für Zoologie Biozentrum der Universität zu Köln	internal-id	90eff4cb-001c-4981-9388-7ea719ba8be6	open_access	artikel	wissartikel	Department: Biodiversity Discovery
1922	"Burchardt, L.; Knörnschild, M."		2020-04-08	2020	Comparison of methods for rhythm analysis of complex animals’ acoustic signals	PLOS Computational Biology	16	4	e1007755	Public Library of Science (PLoS)	doi	10.1371/journal.pcbi.1007755	open_access	artikel	peerrevartikel	"Ecology; Computational Theory and Mathematics; Ecology, Evolution, Behavior and Systematics; Department: Microevolution"
1924	"Willsch, M.; Jurisch, I.; Ohl, M."	"Friedrich, F.; Baum, D."	2020-05-11	2020	A comparative description of the mesosomal musculature in Sphecidae and Ampulicidae (Hymenoptera, Apoidea) using 3D techniques	Deutsche Entomologische Zeitschrift	67	1	51-67	Pensoft	doi	10.3897/dez.67.49493	open_access	artikel	peerrevartikel	"This publication cites MfN collection specimens; Department: Evolutionary Morphology; Collection: Hymenoptera; Laboratory: 3D laboratory [CT, surface scan, photogrammetry, digital visualisation]"
1926	"Hirschfeld, M.; Rödel, M."	"Scheele, B.; Pasmans, F.; Skerratt, L.; Berger, L.; Martel, A.; Beukema, W.; Acevedo, A.; Burrowes, P.; Carvalho, T.; Catenazzi, A.; De La Riva, I.; Fisher, M.; Flechas, S.; Foster, C.; Frías-Álvarez, P.; Garner, T.; Gratwicke, B.; Guayasamin, J.; Kolby, J.; Kosch, T.; La Marca, E.; Lindenmayer, D.; Lips, K.; Longo, A.; Maneyro, R.; Mcdonald, C.; Mendelson, J.; Palacios-Rodriguez, P.; Parra-Olea, G.; Richards-Zawacki, C.; Rovito, S.; Soto-Azat, C.; Toledo, L.; Voyles, J.; Weldon, C.; Whitfield, S.; Wilkinson, M.; Zamudio, K.; Canessa, S."	2020-03-19	2020	Response to Comment on “Amphibian fungal panzootic causes catastrophic and ongoing loss of biodiversity”	Science	367	6484	eaay2905	American Association for the Advancement of Science (AAAS)	doi	10.1126/science.aay2905	open_access	artikel	wissartikel	"Multidisciplinary; Department: Diversity Dynamics"
1927	"Petersen, M.; Hoffmann, J."	"Pramann, B.; Toepfer, R.; Neumann, J.; Enke, H.; Mauer, R."	2020-06-08	2020	Research Data Management - Current status and future challenges for German non-university research institutions	Research Ideas and Outcomes	6		e55141	Pensoft Publishers	doi	10.3897/rio.6.e55141	open_access	artikel	wissartikel	Department: Science Data Management
1928	Schmitt, R.	"Thalheim, K.; Massanek, A."	2020-07-01	2020	Die Entdeckung des Coelestins in Nordamerika	MineralienWelt	31	4	8-19	Bode Verlag	internal-id	c07c26a2-f60d-42b3-8be5-0f291e2d7917	closed_access	artikel	populartikel	"This publication cites MfN collection specimens; This publication is a species description; Department: Collection Development; Collection: Mineralogie/Petrographie"
1929	Buenaventura, E.	"Lloyd, M.; Perilla López, J.; González, V.; Thomas‐Cabianca, A.; Dikow, T."	2020-07-08	2020	Protein‐encoding ultraconserved elements provide a new phylogenomic perspective of Oestroidea flies (Diptera: Calyptratae)	Systematic Entomology	46	1	1-23	Wiley	doi	10.1111/syen.12443	open_access	artikel	peerrevartikel	"Insect Science; Ecology, Evolution, Behavior and Systematics; This publication cites MfN collection specimens; Department: Biodiversity Discovery; Collection: Diptera, Siphonaptera"
1930	"Piazza, V.; Aberhan, M."	Ullmann, C.	2020-03-13	2020	Temperature-related body size change of marine benthic macroinvertebrates across the Early Toarcian Anoxic Event	Scientific Reports	10	1	4675	Springer Science and Business Media LLC	doi	10.1038/s41598-020-61393-5	open_access	artikel	peerrevartikel	"Multidisciplinary; Department: Diversity Dynamics"
1931	Schwarz, D.	"Mannion, P.; Wings, O.; Meyer, C."	2020-02-24	2020	Re-description of the sauropod dinosaur Amanzia (“Ornithopsis/Cetiosauriscus”) greppini n. gen. and other vertebrate remains from the Kimmeridgian (Late Jurassic) Reuchenette Formation of Moutier, Switzerland	Swiss Journal of Geosciences	113	1	Article number 2	Springer Science and Business Media LLC	doi	10.1186/s00015-020-00355-5	open_access	artikel	peerrevartikel	"Geology; This publication is a taxonomic revision; This publication is a species description; Department: Evolutionary Morphology"
1932	"Díez Díaz, V.; Schwarz, D."	"Demuth, O.; Mallison, H."	2020-05-29	2020	The Tail of the Late Jurassic Sauropod Giraffatitan brancai: Digital Reconstruction of Its Epaxial and Hypaxial Musculature, and Implications for Tail Biomechanics	Frontiers in Earth Science	8		Article number 160	Frontiers Media SA	doi	10.3389/feart.2020.00160	open_access	artikel	peerrevartikel	"This publication cites MfN collection specimens; Department: Evolutionary Morphology"
1933		Parsi-Pour, P.	2020-01-08	2020	Functional Morphology and Morphological Diversification of Hind Limb Cross-Sectional Traits in Mustelid Mammals	Integrative Organismal Biology	2	1	1-22	Oxford University Press (OUP)	doi	10.1093/iob/obz032	open_access	artikel	peerrevartikel	Department: Evolutionary Morphology
1934	Freyhof, J.	"Els, J.; Feulner, G.; Hamidan, N.; Krupp, F."	2020-01-01	2020	Freshwater Fishes of the Arabian Peninsula					Motivate Media Group	internal-id	8346c67c-0435-4c07-a80a-d1e8496a9704	closed_access	buch	buchfachbuch	Department: Biodiversity Discovery
1935	Freyhof, J.		2020-04-01	2020	Ökonomisierung der Natur - kennen wir den Schatz, den es zu heben gilt?	Geschätzte Tiere: von Wildtiertopografien bis zu Ökosystemleistungen von Meeres- und Alpenfauna, 2010-2020			1-168	Hatje Cantz Verlag	internal-id	352f480d-19ca-40b4-a961-bb380c36c119	closed_access	artikel	sammelbandbeitrag	Department: Biodiversity Discovery
1936	Freyhof, J.	"Kuljanishvili, T.; Epitashvili, G.; Japoshvili, B.; Kalous, L.; Levin, B.; Mustafayev, N.; Ibrahimov, S.; Pipoyan, S.; Mumladze, L."	2020-05-26	2020	Checklist of the freshwater fishes of Armenia, Azerbaijan and Georgia	Journal of Applied Ichthyology	36	4	501-514	Wiley	doi	10.1111/jai.14038	closed_access	artikel	peerrevartikel	"Aquatic Science; Department: Biodiversity Discovery"
1937	Freyhof, J.	"Kirchner, S.; Kruckenhauser, L.; Pichler, A.; Borkenhagen, K."	2020-03-18	2020	Revision of the Garra species of the Hajar Mountains in Oman and the United Arab Emirates with the description of two new species (Teleostei: Cyprinidae)	Zootaxa	4751	3	521-545	Wiley	doi	10.11646/zootaxa.4751.3.6	closed_access	artikel	peerrevartikel	Department: Biodiversity Discovery
1939	Aberhan, M.	"Garvie, C.; Weiss, A.; Muscente, A.; Counts, J.; Martindale, R."	2020-02-07	2020	Resilience of marine invertebrate communities during the early Cenozoic hyperthermals	Scientific Reports	10	1	Article number 2176	Springer Science and Business Media LLC	doi	10.1038/s41598-020-58986-5	open_access	artikel	peerrevartikel	"Multidisciplinary; Department: Diversity Dynamics"
1940	Aberhan, M.	"Ullmann, C.; Boyle, R.; Duarte, L.; Hesselbo, S.; Kasemann, S.; Klein, T.; Lenton, T.; Piazza,  ."	2020-04-16	2020	Warm afterglow from the Toarcian Oceanic Anoxic Event drives the success of deep-adapted brachiopods	Scientific Reports	10	1	Article number: 6549	Springer Science and Business Media LLC	doi	10.1038/s41598-020-63487-6	open_access	artikel	peerrevartikel	"Multidisciplinary; Department: Diversity Dynamics"
1941	Aberhan, M.	"Nirta, G.; Bortolotti, V.; Carras, N.; Menna, F.; Fazzuoli, M."	2020-06-15	2020	Deciphering the geodynamic evolution of the Dinaric orogen through the study of the ‘overstepping’ Cretaceous successions	Geological Magazine	157	8	1238-1264	Cambridge University Press (CUP)	doi	10.1017/s001675682000045x	closed_access	artikel	peerrevartikel	"Geology; Department: Diversity Dynamics"
1942	Miehlbradt, S.		2020-03-01	2020	Von Königlichen Audienzen, stillen Helfern und Jagdtrophäen	Koloniale Spuren in den Archiven der Leibniz-Gemeinschaft			12-23	Mitteldeutscher Verlag	internal-id	9db63eea-97cf-49a8-8528-7ac0e7371cfe	closed_access	artikel	sammelbandbeitrag	Collection: Historische Bild- und Schriftgutsammlung
1943	Aberhan, M.	"Eymann, C.; Götze, S.; Bock, C.; Guderley, H.; Knoll, A.; Lannig, G.; Sokolova, I.; Pörtner, H."	2020-01-09	2020	Thermal performance of the European flat oyster, Ostrea edulis (Linnaeus, 1758)—explaining ecological findings under climate change	Marine Biology	167	2	Article number 17	Springer Science and Business Media LLC	doi	10.1007/s00227-019-3620-3	open_access	artikel	peerrevartikel	"Ecology; Aquatic Science; Ecology, Evolution, Behavior and Systematics; Department: Diversity Dynamics"
1944	Struck, U.	"Roth, F.; Karcher, D.; Rädecker, N.; Hohn, S.; Carvalho, S.; Thomson, T.; Saalmann, F.; Voolstra, C.; Kürten, B.; Jones, B.; Wild, C."	2020-07-02	2020	High rates of carbon and dinitrogen fixation suggest a critical role of benthic pioneer communities in the energy and nutrient dynamics of coral reefs	Functional Ecology	34	9	1991-2004	Wiley	doi	10.1111/1365-2435.13625	open_access	artikel	peerrevartikel	"Ecology, Evolution, Behavior and Systematics; Department: Diversity Dynamics; Laboratory: Isotope laboratories"
1945	Struck, U.	"Karcher, D.; Roth, F.; Carvalho, S.; El-Khaled, Y.; Tilstra, A.; Kürten, B.; Jones, B.; Wild, C."	2020-04-02	2020	Nitrogen eutrophication particularly promotes turf algae in coral reefs of the central Red Sea	PeerJ	8		e8737	PeerJ	doi	10.7717/peerj.8737	open_access	artikel	peerrevartikel	"General Biochemistry, Genetics and Molecular Biology; General Neuroscience; General Agricultural and Biological Sciences; General Medicine; Department: Diversity Dynamics; Laboratory: Isotope laboratories"
1946	Herrmann, E.		2020-07-30	2020	Sustainable Forestry Science: Wilhelm Philip Daniel Schlich					Biodiversity Heritage Library	internal-id	c0d180ef-52a8-436c-83b3-b88bf30dbbaa	open_access	artikel	populartikel	Department: Science Data Management
1947	"Pitriana, P.; Valente, L.; Von Rintelen, T.; Von Rintelen, K."	"Jones, D.; Prabowo, R."	2020-07-03	2020	An annotated checklist and integrative biodiversity discovery of barnacles (Crustacea, Cirripedia) from the Moluccas, East Indonesia	ZooKeys	945		17-83	Pensoft Publishers	doi	10.3897/zookeys.945.39044	open_access	artikel	peerrevartikel	"Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Department: Biodiversity Discovery"
1948	Jetzkowitz, J.	"Chan, K.; Boyd, D.; Gould, R.; Liu, J.; Muraca, B.; Naidoo, R.; Olmsted, P.; Satterfield, T.; Selomane, O.; Singh, G.; Sumaila, R.; Ngo, H.; Boedhihartono, A.; Agard, J.; Aguiar, A.; Armenteras, D.; Balint, L.; Barrington‐Leigh, C.; Cheung, W.; Díaz, S.; Driscoll, J.; Esler, K.; Eyster, H.; Gregr, E.; Hashimoto, S.; Hernández Pedraza, G.; Hickler, T.; Kok, M.; Lazarova, T.; Mohamed, A.; Murray‐Hudson, M.; O'Farrell, P.; Palomo, I.; Saysel, A.; Seppelt, R.; Settele, J.; Strassburg, B.; Xue, D.; Brondízio, E."	2020-07-24	2020	Levers and leverage points for pathways to sustainability	People and Nature	2	3	693-717	Wiley	doi	10.1002/pan3.10124	open_access	artikel	peerrevartikel	Department: Science in Society
1949		"De Mazancourt, V.; Boseto, D.; Marquet, G.; Keith, P."	2020-08-04	2020	Solomon’s Gold Mine: Description or redescription of 24 species of Caridina (Crustacea: Decapoda: Atyidae) freshwater shrimps from the Solomon Islands, including 11 new species.	European Journal of Taxonomy		696	1-86	Museum National D'Histoire Naturelle	doi	10.5852/ejt.2020.696	open_access	artikel	peerrevartikel	"Ecology, Evolution, Behavior and Systematics; Department: Biodiversity Discovery"
1950	"Vogel, J.; Junker, S."		2020-01-01	2020	Geschäftsbericht 2019				1-31	Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung	doi	10.7479/d87r-x140	open_access	graueliteratur	bericht	Collection: Bibliothek
1952	Asatryan, G.	"Sutherland, R.; Dickens, G.; Blum, P.; Agnini, C.; Alegret, L.; Bhattacharya, J.; Bordenave, A.; Chang, L.; Collot, J.; Cramwinckel, M.; Dallanave, E.; Drake, M.; Etienne, S.; Giorgioni, M.; Gurnis, M.; Harper, D.; Huang, H.; Keller, A.; Lam, A.; Li, H.; Matsui, H.; Morgans, H.; Newsam, C.; Park, Y.; Pascher, K.; Pekar, S.; Penman, D.; Saito, S.; Stratford, W.; Westerhold, T.; Zhou, X."	2020-02-06	2020	Continental-scale geographic change across Zealandia during Paleogene subduction initiation	Geology	48	5	419-424	Geological Society of America	doi	10.1130/g47008.1	open_access	artikel	peerrevartikel	"Geology; Department: Diversity Dynamics"
1953	Schmitt, R.	"Redes, L.; Hauser, N.; Ruiz, A.; Matos, R.; Reimold, W.; Dantas, E.; Lima, B.; Zacchi, E.; Silva Chaves, J.; Baumotte Osorio, L.; Pimentel, M."	2020-08-21	2020	U–Pb and Hf isotopes in granitoids from the Eastern Bolivian basement: Insights into the Paleoproterozoic evolution of the western part of South America	Journal of South American Earth Sciences	104		102806	Elsevier BV	doi	10.1016/j.jsames.2020.102806	closed_access	artikel	peerrevartikel	"Department: Impact and Meteorite Research; Laboratory: Geochemical and microanalytical facilities"
1954			2020-02-18	2020	The systematics of the Cervidae: a total evidence approach	PeerJ			8:e8114		doi	10.7717/peerj.8114		artikel	peerrevartikel	"This publication cites MfN collection specimens; Department: Evolutionary Morphology; Collection: Mammalia"
1955	"Schmitt, R.; Damaschun, F."		2020-07-01	2020	Alexander von Humboldt: Minerale und Gesteine im Museum für Naturkunde Berlin	Sitzungsberichte der Leibniz-Sozietät der Wissenschaften zu Berlin	143		103-115		internal-id	2d11d50f-9088-4955-9e5a-88994610e7bd	open_access	artikel	wissartikel	"This publication cites MfN collection specimens; Department: Collection Development; Collection: Mineralogie/Petrographie; Collection: Meteoriten"
1956	Schmitt, R.	"Müller, A.; Friis, H."	2020-07-01	2020	Alexander von Humboldt (1769-1859) – ein Protagonist der Erstellung und Förderung wissenschaftlicher Sammlungen für die öffentliche Bildung und Forschung	Sitzungsberichte der Leibniz-Sozietät der Wissenschaften zu Berlin	143		89-102		internal-id	38be6a5d-fe94-4e6c-a0c4-79cd26299dff	open_access	artikel	wissartikel	"Department: Collection Development; Collection: Mineralogie/Petrographie"
1959	"Kaufmann, F.; Hecht, L."	O’Driscoll, B.	2020-09-02	2020	Lateral variations in the Unit 7–8 boundary zone of the Rum Eastern Layered Intrusion, NW Scotland: implications for the origin and timing of Cr-spinel seam formation	Contributions to Mineralogy and Petrology	175		Article number: 90 (2020)	Springer Science and Business Media LLC	doi	10.1007/s00410-020-01732-x	open_access	artikel	peerrevartikel	"Geochemistry and Petrology; Geophysics; Laboratory: Geochemical and microanalytical facilities; Department: Impact and Meteorite Research"
1960	Hirschfeld, M.	"Blackburn, D.; Nielsen, S.; Barej, M.; Doumbia, J.; Kouamé, N.; Lawson, D.; Loader, S.; Ofori‐Boateng, C.; Stanley, E."	2020-09-04	2020	Evolution of the African slippery frogs (Anura:            Conraua            ), including the world’s largest living frog	Zoologica Scripta	49	6	684-696	Wiley	doi	10.1111/zsc.12447	closed_access	artikel	peerrevartikel	"Animal Science and Zoology; Genetics; Ecology, Evolution, Behavior and Systematics; Molecular Biology; Department: Biodiversity Discovery"
1962	Hamann, C.	"Sapanka, M.; Stolle, D.; Auer, G.; Weingart, E.; Al-Sabbagh, D.; Ostermann, M.; Adam, C."	2020-07-17	2020	Recycling of blast-furnace sludge by thermochemical treatment with spent iron(II) chloride solution from steel pickling	Journal of Hazardous Materials	402		123511	Elsevier	doi	https://doi.org/10.1016/j.jhazmat.2020.1	closed_access	artikel	peerrevartikel	"Laboratory: Geochemical and microanalytical facilities; Department: Impact and Meteorite Research"
1963		"Granatosky, M.; Mcelroy, E.; Lemelin, P.; Reilly, S.; Nyakatura, J.; Andrada, E.; Allen, V.; Butcher, M.; Blob, R.; Ross, C."	2020-01-27	2020	Variation in limb loading magnitude and timing in tetrapods	The Journal of Experimental Biology	223	2	jeb201525	The Company of Biologists	doi	10.1242/jeb.201525	open_access	artikel	peerrevartikel	"Insect Science;Animal Science and Zoology;Aquatic Science;Physiology;Ecology, Evolution, Behavior and Systematics;Molecular Biology"
1964	"Von Rintelen, K.; Von Rintelen, T."	De Los Ríos, P.	2020-09-10	2020	Standing waters, especially ancient lakes	Evolution and Biogeography of the Crustacea	8		280-302	Oxford University Press	internal-id	f071343e-5398-4ee5-813f-987055d34c13	closed_access	artikel	sammelbandbeitrag	Department: Biodiversity Discovery
1965	"Pitriana, P.; Von Rintelen, K."	"Jones, D.; Corbari, L."	2020-09-28	2020	New insights gained from museum collections: Deep-sea barnacles (Crustacea, Cirripedia, Thoracica) in the Muséum National d’Histoire Naturelle, Paris, collected during the Karubar expedition in 1991	Zoosystematics and Evolution	96	2	649-698	Pensoft Publishers	doi	10.3897/zse.96.55733	open_access	artikel	peerrevartikel	Department: Biodiversity Discovery
1968	Hecht, L.	"Tazzo-Rangel, M.; Weber, B.; Schmitt, A.; González-Guzmán, R.; Cisneros De León, A."	2020-09-26	2020	Permo–Triassic metamorphism in the Mérida Andes, Venezuela: new insights from geochronology, O-isotopes, and geothermobarometry	International Journal of Earth Sciences			1-29	Springer Science and Business Media LLC	doi	10.1007/s00531-020-01926-5	closed_access	artikel	peerrevartikel	"General Earth and Planetary Sciences; Department: Impact and Meteorite Research; Laboratory: Geochemical and microanalytical facilities"
1969	Mbedi, S.	"Bellinvia, S.; Johnston, P.; Otti, O."	2020-04-29	2020	Mating changes the genital microbiome in both sexes of the common bedbug            Cimex lectularius            across populations	Proceedings of the Royal Society B: Biological Sciences	287	1926	20200302	The Royal Society	doi	10.1098/rspb.2020.0302	open_access	artikel	peerrevartikel	"General Biochemistry, Genetics and Molecular Biology; General Immunology and Microbiology; General Agricultural and Biological Sciences; General Environmental Science; General Medicine; Department: Microevolution"
1970	"Tata, N.; Schneider, T.; Dobberthin, J.; Hoffmann, A.; Hoffmann, J."		2020-09-24	2020	Mediasphere For Nature – Das Applikationslabor für digitale Medien am Museum für Naturkunde Berlin				1-40		doi	10.7479/qv3p-3619		graueliteratur	bericht	Department: Science Data Management
