Title;Excerpt;Tags;Team;Projekt-URL
"Chancen bilden in Berlin: Bildungsökosystem ""Museum in der Schule""";Ziel des Projekts ist es, das Museum als innovativen außerschulischen Lernort fest in Schulstrukturen zu verankern.;FB3 Gesellschaft und Natur, Wissenstransfer, Gesellschaft, Kooperation;Dr. Alexandra Moormann, Aria Tilove;https://www.museumfuernaturkunde.berlin/de/forschung/chancen-bilden-berlin-bildungsoekosystem-museum-der-schule
Mensch-Natur-Beziehungen im Anthropozän;Inter- und transdisziplinäre Forschung zu den Wechselbeziehungen zwischen Mensch, Natur und digitaler Transformation;Social Innovation Unit;Ulrike Sturm, Johannes Ebbighausen, Dr. Elisabeth Heyne, Susan Karlebowski, Dr. Omid Khorramshahi, Julia Tovote, Martin Tscholl;https://www.museumfuernaturkunde.berlin/de/forschung/mensch-natur-beziehungen-im-anthropozaen
Perspektiven der Wissenschaftskommunikation;Bei der Tagung kommen interessierte Wissenschaftler:innen und Kommunikator:innen aus der Leibniz-Gemeinschaft zusammen, um gemeinsam über Perspektiven der Wissenschaftskommunikation zu reflektieren.;FB3 Gesellschaft und Natur, Transfer, Wissenstransfer, Wissenschaftskommunikation, Gesellschaft;Jannis Glahe, Dr. Sabrina Kirschke;https://www.museumfuernaturkunde.berlin/de/forschung/perspektiven-der-wissenschaftskommunikation
Berlin School of Public Engagement und Open Science;"Die Berlin School verbindet Menschen und Forschung. Sie schafft Anreize, Möglichkeiten und Kompetenzen für die Zusammenarbeit zwischen Interessensgruppen, Öffentlichkeiten und Forschenden aller Karrierestufen. Zu diesem Zweck bietet die Berlin School Trainings und Beratung für Forschende aller Karrierestufen in Forschungseinrichtungen weltweit und für Public Engagement-Fachleute in Deutschland an, um Kapazitäten und Kompetenzen für Public Engagement und Partizipation in der Forschung zu vermitteln.
Unsere Angebote umfassen";Public Engagement und Impact, Forschung, Transfer, Öffnung des Museums, Zukunftsplan, Wissenstransfer, Wissenschaftskommunikation, Gesellschaft, Kooperation;;https://www.museumfuernaturkunde.berlin/de/forschung/berlin-school-public-engagement-und-open-science
European Citizen Science;Citizen Science;Social Innovation Unit, Wissenschaftskommunikation, Bürgerwissenschaften, Open Science;Silke Voigt-Heucke, Marius Oesterheld;https://www.museumfuernaturkunde.berlin/de/forschung/european-citizen-science
IETI – Impact-orientiertes Public Engagement;Um die anstehenden globalen, ökologischen und gesellschaftlichen Herausforderungen zu bewältigen, müssen wir eine wirkungsvolle Interaktion zwischen Wissenschaft und Gesellschaft schaffen. IETI – Impact-orientiertes Public Engagement zielt darauf ab, die Qualität und Effizienz des Public Engagements am Museum für Naturkunde Berlin zu steigern und damit zum wissenschaftlichen, gesellschaftlichen und ökologischen Impact beizutragen.;Public Engagement und Impact, Forschung, Transfer, Öffnung des Museums, Zukunftsplan, Politik, Wissenstransfer, Wissenschaftskommunikation, Bürgerwissenschaften, Gesellschaft;Dr. Alina Loth, Dr. Ana Faustino, Dr. Zinaida Vasilyeva, Konstanza Jochim, Luise Proske, Zinaida Vasilyeva;https://www.museumfuernaturkunde.berlin/de/forschung/ieti-impact-orientiertes-public-engagement
Forschen für Wildbienen: Gemeinschaftsgärten gemeinsam gestalten;Gärtnern für Vielfalt. Wir erforschen wie Gemeinschaftsgärten die Vielfalt von Bestäubern fördern können und geben Tipps für die Praxis.;FB3 Gesellschaft und Natur, Social Innovation Unit, Forschung, Wissenstransfer, Wissenschaftskommunikation, Artenschutz, Artensterben, Biodiversität, Bürgerwissenschaften, Gesellschaft, Kooperation;Ulrike Sturm, Susan Karlebowski;https://www.museumfuernaturkunde.berlin/de/forschung/forschen-fuer-wildbienen-gemeinschaftsgaerten-gemeinsam-gestalten
Akustisches Waldmonitoring;Das Waldmonitoring ist ein wichtiger Ansatz zur Erhaltung und Verbesserung des Zustands der Wälder. Hierfür werden mittels verschiedener Methoden ökologische, wirtschaftliche und soziale Funktionen des Waldes bewertet und Veränderungen in den Ökosystemen erfasst. Für ein effektives Monitoring ist es wichtig, alle relevanten Aspekte der biologischen Vielfalt im Wald angemessen zu erfassen. Eine vielversprechende Methode zur Erfassung von lautgebenden Tierarten ist die Verwendung von (bio-) akustischen Methoden.;Evolutionäre Diversitätsdynamik, Forschung;Dr. Karl-Heinz Frommolt, Dr. Olaf Jahn, Mario Lasseck, Benjamin Werner;https://www.museumfuernaturkunde.berlin/de/forschung/akustisches-waldmonitoring
Neue Perspektiven auf die Geschichte unseres Sonnensystems (NoSHADE);Im interdisziplinären NoSHADE Projekt der europäischen Förderorganisation ERC, untersuchen Dr. Jenny Feige und ihr Team die Geschichte unseres Sonnensystems mithilfe von Sedimenten in der trockensten und ältesten Wüste der Welt, der Atacama Wüste.;Sonnensystem, Impakte & Meteoriten, Forschung;Dr. Jenny Feige, Dr. Alessandro Airo, Dr. Christof Sager, Dr. Jenny Feige;https://www.museumfuernaturkunde.berlin/de/forschung/neue-perspektiven-auf-die-geschichte-unseres-sonnensystems-noshade
Public Engagement für planetare Gesundheit mit Fokus Ernährung;Das DBU-geförderte Projekt „Planetary Health – Public Engagement für planetare Gesundheit mit Fokus Ernährung“ eröffnet neue Wege für einen nachhaltigen Wandel unseres Ernährungssystems und Konsumverhaltens.;FB3 Gesellschaft und Natur, Forschung, Wissenstransfer, Wissenschaftskommunikation, Gesellschaft, Klimawandel;Dr. Susanne Hecker;https://www.museumfuernaturkunde.berlin/de/forschung/public-engagement-fuer-planetare-gesundheit-mit-fokus-ernaehrung
Dominik Eulberg: Botschafter für Natur;Dominik Eulberg ist ein Techno-DJ, Autor, Produzent und Biologe, dem es gelungen ist, seine beiden lebenslangen Leidenschaften - Musik und Natur - miteinander zu verbinden. Als leidenschaftlicher Naturschützer, Ornithologe und NABU-Fledermausbotschafter ist Dominik Eulberg als Gastwissenschaftler ei;;Kim Mortega;https://www.museumfuernaturkunde.berlin/de/wissenschaft/dominik-eulberg-ein-botschafter-fuer-natur
Kommunales Monitoring von Plastik in den Süßwassersystemen Westafrikas;Monitoring Citizen Science Wasser Afrika;FB3 Gesellschaft und Natur, Bürgerwissenschaften;Dr. Sabrina Kirschke, Lea Schmidtke;https://www.museumfuernaturkunde.berlin/de/forschung/kommunales-monitoring-von-plastik-den-suesswassersystemen-westafrikas
Virtueller Zugang zu Fossil- und Archivmaterial der deutschen Tendaguru-Expedition (1909-1913);Tendaguru: Neues Digitalisierungsprojekt vereinigt paläontologische und archivarische Daten in einer Forschungsumgebung;Evolutionäre Morphologie, FB2 Zukunft der Sammlung, FB3 Gesellschaft und Natur, Forschung, Forschungsinfrastruktur, Wissenstransfer, Digitalisierung, Fossilien, Kulturerbe;Dr. Daniela Schwarz, Dr. Ina Heumann, Dr. Verónica Díez Díaz, Marion Depraetere, Bernhard Schurian;https://www.museumfuernaturkunde.berlin/de/forschung/virtueller-zugang-zu-fossil-und-archivmaterial-der-deutschen-tendaguru-expedition-1909
Paläopathologie der Phytosaurier;Der Wissenschaftler Dr. Florian Witzmann untersucht die prähistorischen Krankheiten und Verletzungen (Paläopathologie) der ausgestorbenen Phytosaurier, um Rückschlüsse auf die Lebensweise und das Verhalten zu ziehen.;Evolutionäre Morphologie, Forschung, Fossilien;PD Dr. Florian Witzmann;https://www.museumfuernaturkunde.berlin/de/forschung/palaeopathologie-der-phytosaurier
DMP4CS – Entwicklung eines Werkzeuges für Datenmanagementpläne in Citizen Science;Im BMBF-geförderten Projekt DMP4CS wird in Kooperation mit dem Deutschen Zentrum für Luft und Raumfahrt (DLR) ein Werkzeug zur Erstellung von Datenmanagementplänen in Citizen-Science-Projekten entwickelt.;FB3 Gesellschaft und Natur, Social Innovation Unit, Transfer, Datenbank, Wissenschaftsdatenmanagement, Bürgerwissenschaften, Kooperation;Ulrike Sturm, Susan Karlebowski;https://www.museumfuernaturkunde.berlin/de/forschung/dmp4cs-entwicklung-eines-werkzeuges-fuer-datenmanagementplaene-citizen-science
Die Diversität der Distelbohrfliegen;Im Zuge des sechsten globalen Artenaussterben, vor allem im Reich der Insekten, erforscht der ukrainische Wissenschaftler Prof. Dr. Valery A. Korneyev die Biodiversität der Distelbohrfliegen.;Zentrum für Integrative Biodiversitätsentdeckung, Forschung, Artensterben;;https://www.museumfuernaturkunde.berlin/de/forschung/die-diversitaet-der-distelbohrfliegen
Wassernetz Berlin: Berliner Naturschutzverbände gehen Gewässerschutz gemeinsam an;Das Projekt „Wassernetz Berlin“ ist ein zivilgesellschaftliches Netzwerk im Handlungsfeld Gewässerschutz und  Biodiversität. Gegründet wurde das Netzwerk durch die Berliner Landesarbeitsgemeinschaft Naturschutz e.V. als Projektträger, BUND Berlin e.V., GRÜNE LIGA Berlin e.V., NABU Landesverband Berl;FB3 Gesellschaft und Natur;Julia Rostin, Silke Voigt-Heucke;https://www.museumfuernaturkunde.berlin/de/forschung/wassernetz-berlin-berliner-naturschutzverbaende-gehen-gewaesserschutz-gemeinsam
Entwicklung eines Citizen Science-Zentrums für Natur, Nachhaltigkeit, Digitalisierung;Das Citizen Science-Zentrum soll Bürgerwissenschaften an den Schnittstellen zu Natur, Nachhaltigkeit und Digitalisierung stärken und Akteur:innen aus Politik, Gesellschaft, Wissenschaft und Wirtschaft zusammenführen;FB3 Gesellschaft und Natur, Social Innovation Unit, Politik, Wissenstransfer, Biodiversität, Bürgerwissenschaften, Gesellschaft, Digitalisierung;Silke Voigt-Heucke, Susanne Hecker, Sophie Ewert (Wissenschaftliche Mitarbeiterin), Sophie Ewert;https://www.museumfuernaturkunde.berlin/de/forschung/entwicklung-eines-citizen-science-zentrums-fuer-natur-nachhaltigkeit-digitalisierung
Von Kollisionen zu Einschlägen – die späte Wachstumsgeschichte der terrestrischen Planeten;Die Forscher:innen des multidisziplinären TRR170 Projektes erforschen die späte Akkretion auf die terrestrischen, also erdähnlichen, Planeten.;FB1 Dynamik der Natur, Sonnensystem, Impakte & Meteoriten, Forschung;Prof. Dr. Kai Wünnemann;https://www.museumfuernaturkunde.berlin/de/forschung/von-kollisionen-zu-einschlaegen-die-spaete-wachstumsgeschichte-der-terrestrischen
Wikidata Edit-a-thon verbindet Museumsforschende und Bürgerwissenschaftler aus aller Welt;Offen-partizipativer Ansatz zur verbesserten Vernetzung von Forschenden am Museum für Naturkunde mit Akteuren weiterer GLAM-Institutionen;FB2 Zukunft der Sammlung, Forschungsinfrastruktur, Öffnung des Museums, Sammlungsmanagement, Datenbank, Wissenstransfer, Wissenschaftsdatenmanagement, Bürgerwissenschaften, Open Science, Digitalisierung, Kooperation, Kulturerbe;Dr. Sabine von Mering, Erik Stolze;https://www.museumfuernaturkunde.berlin/de/forschung/wikidata-edit-a-thon-verbindet-museumsforschende-und-buergerwissenschaftler-aus-aller
AG Dunlop;Die AG um Jason Dunlop forscht an fossilen Spinnentieren und ihren Verwandten, insbesondere die Evolution und Verbreitungsgeschichte stehen im Fokus.;FB1 Dynamik der Natur, Evolutionäre Morphologie, Forschung, Morphologie, Evolution;Dr. Jason A. Dunlop;https://www.museumfuernaturkunde.berlin/de/forschung/ag-dunlop
AG Paläobotanik;Die Forschungsgruppe Paläobotanik erforscht fossile Pflanzen, um Rückschlüsse über vergangene Ökosysteme zu erhalten. Ein weiterer Schwerpunkt liegt auf der Rekonstruktion und Evolution von Bernsteinwäldern.;FB1 Dynamik der Natur, Evolutionäre Diversitätsdynamik, Forschung, Biodiversität, Evolution;Dr. Ludwig Luthardt, Dr. Eva-Maria Sadowski, Simon Beurel, Melanie Diebert;https://www.museumfuernaturkunde.berlin/de/forschung/ag-palaeobotanik
Netzwerk Naturwissen;"Das Museum für Naturkunde ist mit seinem ""Netzwerk Naturwissen"" Austragungsort einer Zusammenarbeit mit Partner:innen aus Berlin und Brandenburg.";FB3 Gesellschaft und Natur, Öffnung des Museums, Zukunftsplan, Wissenstransfer, Artensterben, Biodiversität, Kooperation;Dr. Julia Diekämper, Carolin Glahe, Sylvana Jahre, Julia Diekämper;https://www.museumfuernaturkunde.berlin/de/forschung/netzwerk-naturwissen
MultiplEye Lab;Die Forschungsgruppe MultiplEye Lab erforscht die Entwicklung von Tieren, die mehr als zwei Augen haben, wie Spinnen und Schnecken.;FB1 Dynamik der Natur, Evolutionäre Morphologie, Forschung, Morphologie, Evolution;Dr. Lauren Sumner-Rooney;https://www.museumfuernaturkunde.berlin/de/forschung/multipleye-lab
Offener Wikidata Edit-a-thon zu kolonialen Sammlungsakteuren;Zweiter Edit-a-thon am Museum für Naturkunde öffnet sich neuen Zielgruppen;FB2 Zukunft der Sammlung, Forschungsinfrastruktur, Öffnung des Museums, Sammlungsmanagement, Wissenschaftsdatenmanagement, Bürgerwissenschaften, Open Science, Digitalisierung, Kooperation;Sabine von Mering, Erik Stolze;https://www.museumfuernaturkunde.berlin/de/forschung/offener-wikidata-edit-a-thon-zu-kolonialen-sammlungsakteuren
Neues Format der Wissensvernetzung erstmals am Museum für Naturkunde getestet;Erster hausinterner Edit-a-thon bestätigt Nachfrage seitens der Mitarbeiter an partizipativen Workshops;FB2 Zukunft der Sammlung, Öffnung des Museums, Sammlungsmanagement, Wissenschaftsdatenmanagement, Bürgerwissenschaften, Open Science, Digitalisierung;Dr. Sabine von Mering, Erik Stolze;https://www.museumfuernaturkunde.berlin/de/forschung/neues-format-der-wissensvernetzung-erstmals-am-museum-fuer-naturkunde-getestet
Auf der Suche nach den Hintergründen der evolutionären Anpassung und Veränderung des Schädels von frühen Landwirbeltieren;Die unterschiedlichen Lebensumgebungen der Landwirbeltiere haben im Laufe der Zeit zu einer großen Vielfalt im Aufbau und der Gestalt von Schädel geführt. Wissenschaftler:innen des Museums für Naturkunde Berlin beschreiben und analysieren diese Unterschiede im Rahmen des Projekts.;FB1 Dynamik der Natur, Evolutionäre Morphologie, Forschung, Morphologie, Evolution, Fossilien;Dr. Marylene Danto, Marylene Danto;https://www.museumfuernaturkunde.berlin/de/forschung/auf-der-suche-nach-den-hintergruenden-der-evolutionaeren-anpassung-und-veraenderung-des
Sammler:innen Edit-a-thons am Museum für Naturkunde: Innovative Formatentwicklung für partizipative Wissensvernetzung;Beitrag zur internationalen Sammlungsvernetzung: Die Öffnung hausinterner Daten zu Sammler:innen für die Allgemeinheit - unter Nutzung offener und partizipativer digitaler Formate wie Wikidata - eröffnet vielfältige neue, unerwartete Kooperationsmöglichkeiten.;FB2 Zukunft der Sammlung, Öffnung des Museums, Sammlungsmanagement, Wissenschaftsdatenmanagement, Sammlung, Bürgerwissenschaften, Open Science, Kooperation;Dr. Sabine von Mering, Erik Stolze;https://www.museumfuernaturkunde.berlin/de/forschung/sammlerinnen-edit-a-thons-am-museum-fuer-naturkunde-innovative-formatentwicklung-fuer
Chancen und Grenzen der Partizipation in der Wissenschaft;Am 26.09.2022 kommen Vertreter:innen verschiedener Partizipations-Communities in Deutschland im Museum für Naturkunde zusammen um Partizipation in der Wissenschaft zu diskutieren und neue Erkenntnisse auszutauschen.;Social Innovation Unit, Forschung, Transfer, Öffnung des Museums, Wissenstransfer, Gesellschaft;Silke Voigt-Heucke, Yori Schultka, Dr. Sabrina Kirschke, Mathilde Bessert-Nettelbeck;https://www.museumfuernaturkunde.berlin/de/forschung/chancen-und-grenzen-der-partizipation-der-wissenschaft
Wandelnde Monolithen: Eine Analyse der Körperhaltung und Bewegung der größten pflanzenfressenden Dinosaurier;Pflanzenfressende Dinosaurier waren die größten landlebenden Tiere, die die Erde je bewohnten. Trotz umfangreicher Forschungsarbeiten, besteht bisher noch Unklarheit darüber, wie sich diese gigantischen Saurier fortbewegen konnten. Dieser Frage gehen Wissenschaftler:innen am Museum nun nach.;FB1 Dynamik der Natur, Evolutionäre Morphologie, Forschung, Morphologie, Evolution, Fossilien;Dr. Verónica Díez Díaz;https://www.museumfuernaturkunde.berlin/de/forschung/wandelnde-monolithen-eine-analyse-der-koerperhaltung-und-bewegung-der-groessten
Planetare Verteidigung: Ablenkung gefährlicher Asteroiden;Ziel der Mission unter Federführung von NASA und ESA ist es, den wissenschaftliche Beweis für die Möglichkeit der Ablenkung eines Asteroiden durch externe Beaufschlagung zu erbringen. Wissenschaftler:innen des Museums für Naturkunde Berlin sind Teil des internationalen Teams.;FB1 Dynamik der Natur, Sonnensystem, Impakte & Meteoriten, Forschung, Einschlag;Prof. Dr. Kai Wünnemann, Dr. Robert Luther;https://www.museumfuernaturkunde.berlin/de/forschung/planetare-verteidigung-ablenkung-gefaehrlicher-asteroiden
Haben große Säugetieren kleinere und simplere Gehirne, wenn sie auf Inseln leben?;Im Rahmen des Projekts werden Wissenschaftler:innen des Museums für Naturkunde Berlin genauer analysieren, wie sich die Gehirne von inselbewohnenden Säugetieren im Laufe der Zeit verändert haben und welche Faktoren dabei eine Rolle gespielt haben.;FB1 Dynamik der Natur, Evolutionäre Morphologie, Forschung, Morphologie, Säugetiere, Evolution, Fossilien;Dr. Roberto Rozzi;https://www.museumfuernaturkunde.berlin/de/forschung/haben-grosse-saeugetieren-kleinere-und-simplere-gehirne-wenn-sie-auf-inseln-leben
Was wir im Projekt Sammlungserschließung und -entwicklung machen;Wir stellen uns der Verantwortung, unsere Sammlung zu bewahren, zu öffnen und für alle zugänglich zu machen. Dabei vernetzen wir Wissen und entwickeln unser Sammlungsmanagement sowie Services und Infrastrukturen ständig weiter.;FB2 Zukunft der Sammlung, Forschung, Transfer, Öffnung des Museums, Zukunftsplan, Politik, Wissenstransfer, Wissenschaftskommunikation, Sammlung, Gesellschaft, Digitalisierung;Dr. Mareike Petersen, Dr. Frederik Berger, Dr. Anke Hoffmann;https://www.museumfuernaturkunde.berlin/de/forschung/was-wir-im-projekt-sammlungserschliessung-und-entwicklung-machen
Pollinator Pathmaker: Ein lebendiges Kunstwerk für Bestäuber;Pollinator Pathmaker ist ein lebendes Kunstwerk, mit dem wir Schulen und die Öffentlichkeit einladen, die Welt aus der Sicht von Bestäuberinsekten zu betrachten und zu ihrem Schutz beizutragen.;FB3 Gesellschaft und Natur, Social Innovation Unit, Öffnung des Museums, Artenschutz, Bürgerwissenschaften, Kooperation;Dr. Kim Geraldine Mortega;https://www.museumfuernaturkunde.berlin/de/forschung/pollinator-pathmaker-ein-lebendiges-kunstwerk-fuer-bestaeuber
Amniota Lab;Die Forschungsgruppe Amniota Lab erforscht fossile und an Land lebende Wirbeltiere, wie Eidechsen und Schlangen sowie pflanzenfressende Säugetiere. Ein besonderes Interesse gilt den Ursachen der evolutionären Diversifizierung und den Ursachen, die zur Entwicklung unterschiedlicher Arten führen.;FB1 Dynamik der Natur, Evolutionäre Diversitätsdynamik, Evolutionäre Morphologie, Forschung, Morphologie, Säugetiere, Evolution, Fossilien, Geowissenschaften;Faysal Bibi, Johannes Müller, Roberto Rozzi, Fernando Blanco, Kristin Mahlow, Antonia Kaffler;https://www.museumfuernaturkunde.berlin/de/forschung/amniota-lab
Live Science;Neue Formen der Begegnungskommunikation im musealen Raum (NuForm): Live Science;FB3 Gesellschaft und Natur, Ausstellung, Forschung, Öffnung des Museums, Wissenstransfer, Digitalisierung;Linda Gallé, Uwe Moldrzyk, Dr. Claire Förster, Nadine Kühne;https://www.museumfuernaturkunde.berlin/de/forschung/live-science
Der Mineralien Tanz;Neue Formen der Begegnungskommunikation im musealen Raum (NuForm) - Der Mineralien Tanz;FB3 Gesellschaft und Natur, Ausstellung, Forschung, Öffnung des Museums, Wissenstransfer, Digitalisierung;Linda Gallé, Uwe Moldrzyk, Dr. Claire Förster, Nadine Kühne;https://www.museumfuernaturkunde.berlin/de/forschung/der-mineralien-tanz
Die 360°Führung;Neue Formen der Begegnungskommunikation im musealen Raum (NuForm);FB3 Gesellschaft und Natur, Ausstellung, Forschung, Öffnung des Museums, Wissenstransfer, Digitalisierung;Linda Gallé, Uwe Moldrzyk, Dr. Claire Förster, Nadine Kühne;https://www.museumfuernaturkunde.berlin/de/forschung/die-360degfuehrung
Auf die Plätze! Citizen Science in deiner Stadt;Zusammen forschen, Neues entdecken und den Austausch zwischen Wissenschaft und Gesellschaft aktiv gestalten – all das und mehr umfasst Citizen Science. Der Wettbewerb fördert Ideen, die Citizen Science vor Ort erlebbar machen und verankern.;FB3 Gesellschaft und Natur, Forschung, Wissenstransfer, Bürgerwissenschaften, Open Science, Gesellschaft;Gesine Heinrich;https://www.museumfuernaturkunde.berlin/de/forschung/auf-die-plaetze-citizen-science-deiner-stadt
Forschungsfokus Provenienz;Forschungsfokus Provenienz: Digitale Edition der Jahresberichte des Museums für Naturkunde 1887-1915 und 1928-1938;FB2 Zukunft der Sammlung, Forschung, Forschungsinfrastruktur, Transfer, Datenbank, Sammlung, Digitalisierung;Ina Heumann, Catarina Madruga, PhD, Katja Kaiser, Elisa Herrmann;https://www.museumfuernaturkunde.berlin/de/forschung/forschungsfokus-provenienz
Experimentierfeld für Partizipation und Offene Wissenschaft;Das Experimentierfeld bietet verschiedene Formate zur Forschungskommunikation und Partizipation.;Ausstellung, Forschung, Wissenschaftskommunikation, Open Science;Dr. Wiebke Rössig;https://www.museumfuernaturkunde.berlin/de/forschung/experimentierfeld-fuer-partizipation-und-offene-wissenschaft
EU-Citizen.Science Projekt;EU.Citizen.Science Plattform ist die Wissensplattform für Citizen Science in Europa.;FB3 Gesellschaft und Natur, Forschung, Wissenstransfer, Bürgerwissenschaften, Gesellschaft;Silke Voigt-Heucke, Dr. Antonella Radicchi;https://www.museumfuernaturkunde.berlin/de/forschung/eu-citizen.science-projekt
Civic Digitization;Civic Digitization erforscht den Digitalisierungsprozess ethnografisch.;FB2 Zukunft der Sammlung, Forschung, Öffnung des Museums, Wissenschaftskommunikation, Sammlung, Digitalisierung;Prof. Dr. Tahani Nadim;https://www.museumfuernaturkunde.berlin/de/forschung/civic-digitization
User Imaginaries in Digital Natural History;Mit der Digitalisierung von Sammlungen gehen für das MfN viele Veränderungen einher. Sie formt menschliche und nicht-menschliche Akteure, von denen sie wiederum selbst immer neu gestaltet wird.;FB2 Zukunft der Sammlung, Forschung, Gesellschaft, Digitalisierung;Prof. Dr. Tahani Nadim;https://www.museumfuernaturkunde.berlin/de/forschung/user-imaginaries-digital-natural-history
Museums and Society: Mapping the Social;Museums and Society beleuchtet als Forschungsprojekt die soziale Rolle von Museen als Orte der Wissensvermittlung und Gemeinschaftsbildung.;FB2 Zukunft der Sammlung, Forschung, Gesellschaft;Prof. Dr. Tahani Nadim;https://www.museumfuernaturkunde.berlin/de/forschung/museums-and-society-mapping-social
Unsere Forschungscluster;Das Museum stellt seine sechs neuen Forschungscluster vor;Forschungscluster;Dr. Anke Hoffmann;https://www.museumfuernaturkunde.berlin/de/forschung/unsere-forschungscluster
