Title;Excerpt;Tags;Team;Project-URL
Research for wild bees - designing community gardens together;Gardening for diversity. We explore how community gardens can promote pollinator diversity and provide tips for practice.;SP3 Society and Nature, Social Innovation Unit, Research, Knowledge Transfer, Science Communication, Protection of Species, Extinction of Species, Biodiversity, Citizen Science, Society, Cooperation;Ulrike Sturm, Susan Karlebowski;https://www.museumfuernaturkunde.berlin/en/research/research-wild-bees-designing-community-gardens-together
Acoustic Forest Monitoring;Forest monitoring is an important approach to maintaining and enhancing the state of forests. For this purpose, various methods are employed to evaluate the ecological, economic, and social functions of forests and to monitor changes in ecosystems. To ensure effective monitoring, it is essential to comprehensively record all relevant aspects of biodiversity in the forest. One promising method for surveying species that produce sounds is the use of (bio)acoustic methods.;Evolutionary Diversity Dynamics, Research;Dr. Karl-Heinz Frommolt, Dr. Olaf Jahn, Mario Lasseck, Benjamin Werner;https://www.museumfuernaturkunde.berlin/en/research/acoustic-forest-monitoring
Novel perspectives on our Solar System History recorded in the Atacama Desert (NoSHADE);In the interdisciplinary NoSHADE project funded by the European Research Council (ERC), Dr. Jenny Feige and her team are investigating the history of our solar system using sediments in the driest and oldest desert in the world, the Atacama Desert.;Solar System, Impacts & Meteorites, Research;Dr. Jenny Feige, Dr. Alessandro Airo, Dr. Christof Sager, Dr. Jenny Feige;https://www.museumfuernaturkunde.berlin/en/research/novel-perspectives-our-solar-system-history-recorded-atacama-desert-noshade
Public Engagement with Planetary Health with Focus on Food and Nutrition;The DBU-funded project ‘Planetary Health - Public Engagement with Planetary Health’ opens up new ways for a sustainable transformation of our food systems and consumption behaviour.;SP3 Society and Nature, Research, Knowledge Transfer, Science Communication, Society, Climate Change;Dr. Susanne Hecker;https://www.museumfuernaturkunde.berlin/en/research/public-engagement-planetary-health-focus-food-and-nutrition
Dominik Eulberg: Ambassador for nature;"Dominik Eulberg is a techno DJ, author, producer and biologist who has managed to combine his two lifelong passions - music and nature. A passionate conservationist, ornithologist and NABU bat ambassador, Dominik Eulberg is a guest scientist and ambassador ""for nature"" at the Museum für Naturkunde B";;Kim Mortega;https://www.museumfuernaturkunde.berlin/en/wissenschaft/dominik-eulberg-ein-botschafter-fuer-natur
Community-driven freshwater plastic monitoring in Western Africa;Monitoring Citizen Science water quality Africa;SP3 Society and Nature, Citizen Science;Dr. Sabrina Kirschke, Lea Schmidtke;https://www.museumfuernaturkunde.berlin/en/research/community-driven-freshwater-plastic-monitoring-western-africa
Virtual access to fossil and archival material from the German Tendaguru Expedition (1909-1913);Tendaguru: New Digitisation Project unites paleontological and archival data in one research environment;Evolutionary Morphology, SP2 Collection Future, SP3 Society and Nature, Research, Research Infrastructure, Knowledge Transfer, Digitalization, Fossils, Cultural Heritage;Dr. Daniela Schwarz, Dr. Ina Heumann, Dr. Verónica Díez Díaz, Marion Depraetere, Bernhard Schurian;https://www.museumfuernaturkunde.berlin/en/research/virtual-access-fossil-and-archival-material-german-tendaguru-expedition-1909-1913
Paleopathology in Late Triassic phytosaurs;The scientist Dr. Florian Witzmann studies the prehistoric diseases and injuries (paleopathology) of extinct phytosaurs to draw conclusions about their lifestyle and behaviour.;Evolutionary Morphology, Research, Fossils;PD Dr. Florian Witzmann;https://www.museumfuernaturkunde.berlin/en/research/paleopathology-late-triassic-phytosaurs
DMP4CS – Development of a tool for data management plans in citizen science;In the BMBF-funded project DMP4CS, a tool for creating data management plans in citizen science projects is being developed in cooperation with the German Aerospace Center (DLR).;SP3 Society and Nature, Social Innovation Unit, Transfer, Database, Research Data Management, Citizen Science, Cooperation;Ulrike Sturm, Susan Karlebowski;https://www.museumfuernaturkunde.berlin/en/research/dmp4cs-development-a-tool-data-management-plans-citizen-science
The diversity of thistle fruit flies;For decades, a loss of biodiversity has been observed all over the world. Extinction of species endangers the animal and plant community and, according to prognoses, could lead to a collapse of ecosystems worldwide. The interdependence of the animal and plant world is particularly evident on the example of insects. However, just one third of all insect species have been described, which means that a large number of them is threatened with extinction in the shadows. For this reason, the Ukrainian scientist Prof. Valery A.;Centre for Integrative Biodiversity Discovery, Research, Extinction of Species;;https://www.museumfuernaturkunde.berlin/en/research/diversity-thistle-fruit-flies
Wassernetz Berlin: Berlin nature conservation associations work together to protect urban water bodies;"The project ""Wassernetz Berlin"" is a civil society network in the field of water protection and biodiversity. The network was founded by the Berliner Landesarbeitsgemeinschaft Naturschutz e.V. as project promoter, BUND Berlin e.V., GRÜNE LIGA Berlin e.V., NABU Landesverband Berlin e.V., tip: tap e.V";SP3 Society and Nature;Julia Rostin, Silke Voigt-Heucke;https://www.museumfuernaturkunde.berlin/en/research/wassernetz-berlin-berlin-nature-conservation-associations-work-together-protect-urban
Development of a Citizen Science Center for Nature, Sustainability and Digitalization;The Citizen Science Center aims to link Citizen Science for nature, sustainability and digitalization together, involving stakeholders from politics, science, society and economics;SP3 Society and Nature, Social Innovation Unit, Politics, Knowledge Transfer, Biodiversity, Citizen Science, Society, Digitalization;Silke Voigt-Heucke, Susanne Hecker, Sophie Ewert (research assistant), Sophie Ewert;https://www.museumfuernaturkunde.berlin/en/research/development-a-citizen-science-center-nature-sustainability-and-digitalization
From collisions to impacts – the late growth history of Terrestrial Planets;The researchers of this multidisciplinary TRR170 project are interested in the late accretion onto terrestrial planets.;SP1 Dynamics of Nature, Solar System, Impacts & Meteorites, Research;Prof. Dr. Kai Wünnemann;https://www.museumfuernaturkunde.berlin/en/research/collisions-impacts-late-growth-history-terrestrial-planets
Virtual Wikidata edit-a-thon globally connects GLAM professionals and citizen scientists;Open, participatory approach to improve networking of researchers at the Museum für Naturkunde with actors from other GLAM institutions;SP2 Collection Future, Research Infrastructure, Open Museum, Collections Management, Database, Knowledge Transfer, Research Data Management, Citizen Science, Open Science, Digitalization, Cooperation, Cultural Heritage;Dr. Sabine von Mering, Erik Stolze;https://www.museumfuernaturkunde.berlin/en/research/virtual-wikidata-edit-a-thon-globally-connects-glam-professionals-and-citizen-scientists
Dunlop Lab;Jason Dunlop's research group studies fossil arachnids and their relatives, with a particular focus on evolution and biogeographical history.;SP1 Dynamics of Nature, Evolutionary Morphology, Research, Morphology, Evolution;Dr. Jason A. Dunlop;https://www.museumfuernaturkunde.berlin/en/research/dunlop-lab
Palaeobotany Lab;Research Topic;SP1 Dynamics of Nature, Evolutionary Diversity Dynamics, Research, Biodiversity, Evolution;Dr. Eva-Maria Sadowski, Simon Beurel, Melanie Diebert, Dr. Ludwig Luthardt;https://www.museumfuernaturkunde.berlin/en/research/palaeobotany-lab
Netzwerk Naturwissen;"The Museum für Naturkunde with its ""Netzwerk Naturwissen"" (Network of Nature Knowledge) is the venue for a collaboration with partners from Berlin and Brandenburg.";SP3 Society and Nature, Open Museum, Future Plan, Knowledge Transfer, Extinction of Species, Biodiversity, Cooperation;Carolin Glahe, Sylvana Jahre, Julia Diekämper;https://www.museumfuernaturkunde.berlin/en/research/netzwerk-naturwissen
MultiplEye Lab;The MultiplEye Lab research group studies the evolution of animals that have more than two eyes, such as spiders and snails.;SP1 Dynamics of Nature, Evolutionary Morphology, Research, Morphology, Evolution;Dr. Lauren Sumner-Rooney;https://www.museumfuernaturkunde.berlin/en/research/multipleye-lab
Open Wikidata edit-a-thon on colonial collection agents;Second Edit-a-thon at Museum für Naturkunde opens to a broader public;SP2 Collection Future, Research Infrastructure, Open Museum, Collections Management, Research Data Management, Citizen Science, Open Science, Digitalization, Cooperation;Sabine von Mering, Erik Stolze;https://www.museumfuernaturkunde.berlin/en/research/open-wikidata-edit-a-thon-colonial-collection-agents
New format of knowledge networking tested for the first time at the Museum;First in-house Edit-a-thon confirms need confirms demand from employees for participatory workshops;SP2 Collection Future, Open Museum, Collections Management, Research Data Management, Citizen Science, Open Science, Digitalization;Dr. Sabine von Mering, Erik Stolze;https://www.museumfuernaturkunde.berlin/en/research/new-format-knowledge-networking-tested-first-time-museum
In search of the processes and forces behind the evolution of the skull in early terrestrial vertebrates;The different environments of terrestrial vertebrates over time have led to a great diversity in the structure and shape of skulls. Scientists of the Museum für Naturkunde Berlin describe and analyze these differences within the framework of the project.;SP1 Dynamics of Nature, Evolutionary Morphology, Research, Morphology, Evolution, Fossils;Dr. Marylene Danto, Marylene Danto;https://www.museumfuernaturkunde.berlin/en/research/search-processes-and-forces-behind-evolution-skull-early-terrestrial-vertebrates
Collector edit-a-thons at the Museum für Naturkunde - developing innovative formats for participatory knowledge networking;Contribution to international collection networking: The opening of internal data on collectors to the general public - using open and participatory digital formats such as Wikidata - opens up a wide range of new, unexpected opportunities for cooperation.;SP2 Collection Future, Open Museum, Collections Management, Research Data Management, Collection, Citizen Science, Open Science, Cooperation;Dr. Sabine von Mering, Erik Stolze;https://www.museumfuernaturkunde.berlin/en/research/collector-edit-a-thons-museum-fur-naturkunde-developing-innovative-formats-participatory
"""Opportunities and limitations of participation in academia""";"A conference in the context of the "" Wissenschaftsjahr Nachgefragt!"" - 26.09.2022 at the Museum für Naturkunde Berlin";Social Innovation Unit, Research, Transfer, Open Museum, Knowledge Transfer, Society;;https://www.museumfuernaturkunde.berlin/en/research/opportunities-and-limitations-participation-academia
Moving monoliths: Analyzing the stance and locomotion of sauropod dinosaurs;Herbivorous dinosaurs were the largest land-dwelling animals to ever inhabit the Earth. Despite extensive research, it is still unclear how these gigantic dinosaurs were able to move. Scientists at the museum are now investigating this question.;SP1 Dynamics of Nature, Evolutionary Morphology, Research, Morphology, Evolution, Fossils;Dr. Verónica Díez Díaz;https://www.museumfuernaturkunde.berlin/en/research/moving-monoliths-analyzing-stance-and-locomotion-sauropod-dinosaurs
Planetary Defense: Deflecting dangerous asteroids;The goal of the mission, led by NASA and ESA, is to provide scientific evidence for the possibility of deflection of an asteroid by external impact. Scientists from the Museum für Naturkunde Berlin are part of the international team.;SP1 Dynamics of Nature, Solar System, Impacts & Meteorites, Research, Impact;Prof. Dr. Kai Wünnemann, Dr. Robert Luther;https://www.museumfuernaturkunde.berlin/en/research/planetary-defense-deflecting-dangerous-asteroids
Do large mammals have smaller and simpler brains on islands?;Within the framework of the project, scientists from the Museum für Naturkunde Berlin will analyze in more detail how the brains of island-dwelling mammals have changed over time and which factors have played a role in this.;SP1 Dynamics of Nature, Evolutionary Morphology, Research, Morphology, Mammals, Evolution, Fossils;Dr. Roberto Rozzi;https://www.museumfuernaturkunde.berlin/en/research/do-large-mammals-have-smaller-and-simpler-brains-islands
What we’re doing in the Collection Discovery and Development project;Wir stellen uns der Verantwortung, unsere Sammlung zu bewahren, zu öffnen und für alle zugänglich zu machen. Dabei vernetzen wir Wissen und entwickeln unser Sammlungsmanagement sowie Services und Infrastrukturen ständig weiter.;SP2 Collection Future, Research, Transfer, Open Museum, Future Plan, Politics, Knowledge Transfer, Science Communication, Collection, Society, Digitalization;Dr. Mareike Petersen, Dr. Frederik Berger, Dr. Anke Hoffmann;https://www.museumfuernaturkunde.berlin/en/research/what-were-doing-collection-discovery-and-development-project
Pollinator Pathmaker: A living artwork for pollinators;Pollinator Pathmaker is a living artwork that invites schools and the public to look at the world from the viewpoint of pollinating insects and help to protect them.;SP3 Society and Nature, Social Innovation Unit, Open Museum, Protection of Species, Citizen Science, Cooperation;Dr. Kim Geraldine Mortega;https://www.museumfuernaturkunde.berlin/en/research/pollinator-pathmaker-a-living-artwork-pollinators
Amniota Lab;The Amniota Lab research group concentrates on fossil and terrestrial vertebrates, particularly lizards and snakes, as well as mammalian herbivores. A particular interest lies in the causes of evolutionary diversification and the causes that lead to the evolution of different species.;SP1 Dynamics of Nature, Evolutionary Diversity Dynamics, Evolutionary Morphology, Research, Morphology, Mammals, Evolution, Fossils, Earth Sciences;PD Dr. Faysal Bibi, Prof. Dr. Johannes Müller, Roberto Rozzi, Fernando Blanco, Kristin Mahlow, Faysal Bibi, Antonia Kaffler;https://www.museumfuernaturkunde.berlin/en/research/amniota-lab
Live Science;New forms of interpersonal communication in museum spaces (NuForm) - Live Science;SP3 Society and Nature, Exhibition, Research, Open Museum, Knowledge Transfer, Digitalization;Linda Gallé, Uwe Moldrzyk, Dr. Claire Förster, Nadine Kühne;https://www.museumfuernaturkunde.berlin/en/research/live-science
The Mineral Dance;New forms of interpersonal communication in museum spaces (NuForm) - The Mineral Dance;SP3 Society and Nature, Exhibition, Research, Open Museum, Knowledge Transfer, Digitalization;Linda Gallé, Uwe Moldrzyk, Dr. Claire Förster, Nadine Kühne;https://www.museumfuernaturkunde.berlin/en/research/mineral-dance
The 360°Guided Tour;New forms of interpersonal communication in museum spaces (NuForm) - The 360°Guided Tour;SP3 Society and Nature, Exhibition, Research, Open Museum, Knowledge Transfer, Digitalization;Dr. Claire Förster, Linda Gallé, Uwe Moldrzyk, Dr. Claire Förster, Nadine Kühne;https://www.museumfuernaturkunde.berlin/en/research/360degguided-tour
On your marks! Citizen Science in your city;Doing research collectively, discovering new things and actively shaping the discourse between science and society. Citizen Science encompasses all this and more. The contest promotes the idea of Citizen Science as a tangible and local action.;SP3 Society and Nature, Research, Knowledge Transfer, Citizen Science, Open Science, Society;Gesine Heinrich;https://www.museumfuernaturkunde.berlin/en/research/your-marks-citizen-science-your-city
Provenance research under the spotlight;Provenance research under the spotlight: the Digital Edition of the Annual Reports of the Museum 1887-1915 and 1928-1938;SP2 Collection Future, Research, Research Infrastructure, Transfer, Database, Collection, Digitalization;Ina Heumann, Katja Kaiser, Elisa Herrmann;https://www.museumfuernaturkunde.berlin/en/research/provenance-research-under-spotlight
Experimental Field for Participation and Open Science;The Experimental Field tests various formats of research communication and participation.;Exhibition, Research, Science Communication, Open Science;;https://www.museumfuernaturkunde.berlin/en/research/experimental-field-participation-and-open-science
The EU-Citizen.Science project;The EU-Citizen.Science platform is the knowledge platform for Citizen Science in Europe.;SP3 Society and Nature, Research, Knowledge Transfer, Citizen Science, Society;Silke Voigt-Heucke, Dr. Antonella Radicchi;https://www.museumfuernaturkunde.berlin/en/research/eu-citizen.science-project
Civic Digitization;Civic Digitization ethnographically discovers the process of digitization.;SP2 Collection Future, Research, Open Museum, Science Communication, Collection, Digitalization;Prof. Dr. Tahani Nadim;https://www.museumfuernaturkunde.berlin/en/research/civic-digitization
Museums and Society: Mapping the Social;Museums and Society discovers the social role of museums as places of knowledge exchange and community building.;SP2 Collection Future, Research, Society;Prof. Dr. Tahani Nadim;https://www.museumfuernaturkunde.berlin/en/research/museums-and-society-mapping-social
Our Research Clusters;The museum presents its six new research clusters;Research Cluster;Dr. Anke Hoffmann;https://www.museumfuernaturkunde.berlin/en/research/our-research-clusters
Center for the Humanities of Nature;The Center for the Humanities of Nature brings together scholars and practitioners from the history of science, science and technology studies, the sociology of science and sustainability, cultural studies, museum studies and the arts. They focus on the politics, histories and cultures of nature through original research and public engagements in the field of knowledge transfer.;SP2 Collection Future;Anita Hermannstädter, Dr. Ina Heumann, Dr. Katja Kaiser, Dr. Catarina Madruga, Prof. Dr. Michael Ohl, Dr. Angela Strauß, Sarina Schirmer, Katja Kaiser;https://www.museumfuernaturkunde.berlin/en/research/center-humanities-nature
Collection Development;The Collection Development looks at safeguarding and developing the Museum’s comprehensive collections in the long term in the best possible way. On the basis of a professional, scientifically supported collection management that complies with international standards, the collections are being developed as a globally available infrastructure that will meet the present and future needs of science and society.;SP2 Collection Future, Collection;Dr. Christiane Quaisser;https://www.museumfuernaturkunde.berlin/en/research/collection-development
Research Cluster: NaturBerlin;NaturBerlin develops products that document and analyze changes in biodiversity in urban and peri-urban areas and forecast their effects.;Research, Research Cluster, Future Plan, Biodiversity, Citizen Science, Society, Climate Change;Dr. Nike Sommerwerk, Dr. Jörg Freyhof;https://www.museumfuernaturkunde.berlin/en/research/research-cluster-naturberlin
Research Cluster: AutoBio;From Museomics to Genomics and Pattern Recognition;Research, Research Infrastructure, Research Cluster, Genomics, Future Plan, Collection, Biodiversity;Dr. Thomas von Rintelen, Prof. Dr. Rudolf Meier;https://www.museumfuernaturkunde.berlin/en/research/research-cluster-autobio
Research Cluster: Early Solar System;Exploring the early solar system through innovative approaches to collection development - meteorites and minerals;Research, Research Infrastructure, Research Cluster, Future Plan, Collection, Impact, Earth Sciences;Prof. Dr. Lutz Hecht, Dr. Ansgar Greshake, Dr. Ralf-Thomas Schmitt;https://www.museumfuernaturkunde.berlin/en/research/research-cluster-early-solar-system
Research Custer: SoundEvolution;In the Anthropocene ecosystems worldwide are changing at great speed.;Research, Research Infrastructure, Research Cluster, Future Plan, Collection, Biodiversity;PD Dr. Mirjam Knörnschild, Dr. Karl-Heinz Frommolt, PD Dr. Frieder Mayer, PD Dr. Mark-Oliver Rödel;https://www.museumfuernaturkunde.berlin/en/research/research-custer-soundevolution
Research Cluster: OpenHeritage;The Open Heritage cluster brings together projects from across the MfN’s research areas;Research, Transfer, Research Cluster, Open Museum, Future Plan, Knowledge Transfer, Science Communication, Collection, Society, Cultural Heritage;Dr. Ina Heumann, Dr. Christiane Quaisser;https://www.museumfuernaturkunde.berlin/en/research/research-cluster-openheritage
"Science communication goals of an interdisciplinary exhibition team using the example of the exhibition project ""Tristan - Berlin bares teeth"".";Within the framework of an interdisciplinary cooperation, an innovative exhibition concept was developed: The fossil skeleton of a T. rex is both exhibition and research object. The science communication goals of exhibition curators and scientists were investigated.;SP3 Society and Nature, Exhibition, Research, Knowledge Transfer, Science Communication, Fossils;Dr. Alexandra Moormann;https://www.museumfuernaturkunde.berlin/en/research/science-communication-goals-interdisciplinary-exhibition-team-using-example-exhibition
"Epistemological Beliefs of Students after a Visit of the Special Exhibition ""Tristan - Berlin bares Teeth”";"Students’ epistemological beliefs - Researchers investigate how the T. rex special exhibition ""Tristan - Berlin bares Teeth” influences students' understanding of the nature of science.";SP3 Society and Nature, Exhibition, Social Innovation Unit, Research, Knowledge Transfer, Science Communication;Dr. Alexandra Moormann;https://www.museumfuernaturkunde.berlin/en/research/epistemological-beliefs-students-after-a-visit-special-exhibition-tristan-berlin-bares
Students’ species knowledge about birds in Berlin;House sparrow or nightingale? Researchers investigate whether students recognize regional bird species by appearance and song.;SP3 Society and Nature, Social Innovation Unit, Research, Knowledge Transfer, Protection of Species, Extinction of Species, Biodiversity, Society;Ulrike Sturm, Dr. Alexandra Moormann, Silke Voigt-Heucke, Dr. Kim Mortega;https://www.museumfuernaturkunde.berlin/en/research/students-species-knowledge-about-birds-berlin
Innovative BROMACKER communication formats for everyone;Unique combination of science and knowledge transfer;Evolutionary Diversity Dynamics, Exhibition, Research, Open Museum, Knowledge Transfer, Science Communication, Collection, Biodiversity, Open Science, Society, Digitalization, Evolution, Fossils, Earth Sciences, Laboratories, Cooperation, Cultural Heritage;Prof. Dr. Jörg Fröbisch, Uwe Moldrzyk, Steffen Bock, Dr. Marylène Danto, Anastasia Voloshina, Prof. Dr. Nadia Fröbisch, Prof. Dr. Johannes Müller, PD Dr. Florian Witzmann, Dr. Jason Dunlop, Eva-Maria Bendel, Luisa Merten;https://www.museumfuernaturkunde.berlin/en/research/innovative-bromacker-communication-formats-everyone
Natural science research on Bromacker;Unique skeleton and trace fossils from the Permian period;Evolutionary Diversity Dynamics, Research, Collection, Biodiversity, Digitalization, Evolution, Fossils, Earth Sciences, Laboratories, Climate Change, Cooperation, Cultural Heritage;Prof. Dr. Jörg Fröbisch, Uwe Moldrzyk, Steffen Bock, Dr. Marylène Danto, Anastasia Voloshina, Prof. Dr. Nadia Fröbisch, Prof. Dr. Johannes Müller, PD Dr. Florian Witzmann, Dr. Jason Dunlop, Eva-Maria Bendel, Dr. Ludwig Luthardt, Luisa Merten;https://www.museumfuernaturkunde.berlin/en/research/natural-science-research-bromacker
About the Bromacker excavation site;Unique fossils in the Thuringian Forest;Evolutionary Diversity Dynamics, Research, Collection, Biodiversity, Evolution, Fossils, Earth Sciences, Cultural Heritage;Prof. Dr. Jörg Fröbisch, Uwe Moldrzyk, Steffen Bock, Dr. Marylène Danto, Anastasia Voloshina, Prof. Dr. Nadia Fröbisch, Prof. Dr. Johannes Müller, PD Dr. Florian Witzmann, Dr. Jason Dunlop, Eva-Maria Bendel, Luisa Merten;https://www.museumfuernaturkunde.berlin/en/research/about-bromacker-excavation-site
BROMACKER: New ways of science communication;BROMACKER: Combination of science and knowledge transfer;Evolutionary Diversity Dynamics, Exhibition, Research, Transfer, Open Museum, Knowledge Transfer, Collection, Biodiversity, Open Science, Society, Digitalization, Evolution, Fossils, Earth Sciences, Laboratories, Cooperation, Cultural Heritage;Prof. Dr. Jörg Fröbisch, Uwe Moldrzyk, Steffen Bock, Dr. Marylène Danto, Anastasia Voloshina, Prof. Dr. Nadia Fröbisch, Prof. Dr. Johannes Müller, PD Dr. Florian Witzmann, Dr. Jason Dunlop, Eva-Maria Bendel, Luisa Merten;https://www.museumfuernaturkunde.berlin/en/research/bromacker-new-ways-science-communication
Proximity despite distance: Social research meets technology;New forms of interpersonal communication in museum spaces (NuForm);SP3 Society and Nature, Exhibition, Research, Open Museum, Knowledge Transfer, Digitalization;Linda Gallé, Uwe Moldrzyk, Dr. Claire Förster, Nadine Kühne;https://www.museumfuernaturkunde.berlin/en/research/proximity-despite-distance-social-research-meets-technology
Research Cluster: Embryology;The E collection of the Museum für Naturkunde Berlin is a globally unique scientific resource.;Research, Research Cluster, Morphology, Future Plan, Collection, Evolution;Prof. Dr. Jörg Fröbisch, Prof. Nadia Fröbisch, Ph.D., Dr. Peter Giere;https://www.museumfuernaturkunde.berlin/en/research/research-cluster-embryology
Guidelines on Dealing with Natural History Collections from Colonial Contexts;Taking current discussions in science, society and politics into account the project aims at developing recommendations and standards for dealing with natural history collections from colonial contexts...;SP2 Collection Future, Research, Politics, Collection;Dr. Ina Heumann, Dr. Katja Kaiser, Katja Kaiser;https://www.museumfuernaturkunde.berlin/en/research/guidelines-dealing-natural-history-collections-colonial-contexts
Colonial Provenances of Nature;The project examines the history of the MfN's mammal collection in the decades between 1880 and 1920. During this period, the collection expanded remarkably in terms of quantity and uniqueness of the material available. This increase was made possible through a context of imperial expansion...;SP2 Collection Future, Collection;Dr. Ina Heumann, Dr. Catarina Madruga;https://www.museumfuernaturkunde.berlin/en/research/colonial-provenances-nature
Model learning using dioramas, VR experiences, and other experiential spaces.;This study examines the extent to which learners' mental models of natural ecosystems, using coral reefs as an example, gradually develop through repeated and varied encounters with dioramas (and other experiential spaces such as VR experiences, aquarium visits).;SP3 Society and Nature, Research, Knowledge Transfer;Dr. Alexandra Moormann;https://www.museumfuernaturkunde.berlin/en/research/model-learning-using-dioramas-vr-experiences-and-other-experiential-spaces.
WissensFluss: The Berlin Panke;WissensFluss Panke - Knowledge Flow Panke - is a participatory project in which we invite schools and  the general public to discover and explore the biodiversity and habitats of a local Berlin river - the Panke.;SP3 Society and Nature, Social Innovation Unit, Citizen Science;;https://www.museumfuernaturkunde.berlin/en/research/wissensfluss-berlin-panke
